DOB(DD-MM-YYYY)|First Name|Last Name|Address 1|Address 2|City|State|Zip Code
14-05-1971|ZATVDQQOZ|IQTOLDRGS|15234 GJZVOCPWA IBE||XRENG|NE|12894
29-08-2004|EMKEJYENV|ZHXUQBSCJ|60369 EKVMHUGUT OKP||XRKCK|JM|91285
28-02-1988|FXHZUPZST|RZFQPHLOR|32009 ESLGSQLRZ IGL||WJYGR|SV|42496
28-01-1961|YGMMJJMYG|JFQXFBXLF|07324 NAWUJISIH XWF||SKYJC|AM|09231
22-09-1957|DQYPWCSCF|GYYIVFHJC|97341 QXQDNYPLX CIL||PSHMN|OM|62440
29-09-2008|VIHAQNILG|XWNTUURRT|90679 XBFSXUWRR UTV||MEMDJ|TP|38017
12-07-1998|EMVMFFPBM|NJNPKIPSK|52619 WNPDORIHF QMY||VEAYA|UG|95255
29-07-2001|LTDBYODDR|LPHMXUTMZ|45412 MBMBJQLCG CNU||XFEUG|YI|69347
09-05-1972|LZODFVWUU|OOPTARRUQ|48522 EMFBZGHOG UTO||KULMK|TA|82331
17-05-2013|SFKGFOTRV|OETCSJJLH|79631 OHIPNHFPC MKY||IAYEN|UL|50205
15-01-2020|YOUZDCPYW|KEEIQZQBX|00820 FRPUKTMNG GUM||YQKFS|ZP|42819
16-12-2011|ZUHJOESSU|MIWJJSNLP|22053 EBXFRACRH TJP||ULTSY|LI|08750
02-10-1978|CHJSFLCOR|SMTJIOJQW|71104 WHMIZABIK IPV||PHIBB|HC|31345
09-03-1963|JWSAISGVQ|GOLKBKBJJ|25491 XJQFFDSHP ESA||SPFQP|LO|67579
07-12-1995|PTJVCBGKX|DEIONHCAY|91113 LSLDCGZUE NKH||RSAHE|WA|96075
21-05-2017|NNYEFLCSA|BQSKENVSH|13042 UKOZTYGXT GNT||AONEC|DM|21640
17-06-1996|BBRATQVDL|ORQWDNTKH|22130 FIZDZSCFS GCN||DRHBY|NL|80139
09-03-2013|LDXLJBOUE|QLOYNVQCH|87643 YGAERVEXK BMG||FAFWO|DO|02565
04-02-2003|AWQJQRBTI|OSFYJDCGL|99481 XNEULWTNH LTF||BSHJW|VB|63873
26-11-2000|FUEVATCHV|YBVYGJWAR|30633 VKUOTYHFX UVB||AFQKT|UK|40013
30-04-1967|LNGOHGFDC|BBAWQEYFB|22758 NMOPNMHAG TBN||XWWIT|XK|19466
19-04-1979|IJRDQNYGA|SXOJBEQJW|34304 FMAFSWDMG FDG||QKBPZ|AU|94807
22-02-1979|JBNUHGIRT|PMLBGXUUF|57650 NWUXQPOQQ WAM||VQRTC|WX|04921
10-05-1985|JHLNFYYEF|MUJBPWTLP|82306 SZVCARISQ CBS||MKNGT|CI|60072
20-07-2012|IXGAYJZFU|HLNNIMSRK|47297 EVKMMQJQO FRR||OUAQR|PA|44071
01-07-2006|WRDOVBVJG|XMMBQJBUM|81837 BTKREUXJX AMK||QNZHB|UB|25719
31-12-1959|KPUQLFLXB|REHXDWDDY|40112 TSFAWXIBO FJS||VYSVR|WX|77897
17-10-1983|QICTBJUTH|MDETCLYTO|46915 WESZKPIHT PJE||BFQUN|EO|97335
24-04-1968|ZQWPRFDKG|HFBZEMVES|18470 UAXDJDLHG OSO||NIHTH|MO|64269
22-09-1954|GLTFWTWGT|SIWBYLBSX|95603 HYTQTZKKD MBE||OZVFG|KM|44860
09-09-2005|DHAPTAXRM|CAHELABVK|22539 YGQSZMRBZ ZSX||WELZO|PW|57945
15-04-2007|UXFPXMKVQ|AMIGNSGNX|17963 DAQFGVJKN JOJ||MGYHI|KJ|90058
04-05-2008|KUTJSWZEY|BAYIJUAKK|24646 VMAZGWBGT MDL||MJZCE|VV|15896
15-01-1997|KGIDLJLLX|LAAYYIGKB|59086 QXWHENFJG XSV||XHAVQ|UJ|04687
13-01-1952|CRNFDVPAC|WBXXVMSNX|95529 LNNRFOYHN JRY||MXRVR|VN|48183
14-01-1963|ZNKEISPWY|CYSOEONNO|71305 GGEFFUXDV MTM||LZPQR|CP|19244
18-01-1963|QWOAORMYQ|BMOLCLKLS|71536 WNXXQJTNB HOY||ZELUW|OV|15280
